CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
RI-500,Rhode Island Statewide CoC,1267,290,96,NA,NA,NA,NA,NA,522,739,6,0,NA,960,307,777,320,5,22,9,134,869,217,0,1086,181,2021
SC-500,Charleston/Low Country CoC,274,32,15,NA,NA,NA,NA,NA,90,183,0,1,NA,262,12,104,137,3,1,1,28,141,51,0,192,82,2021
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",783,118,51,NA,NA,NA,NA,NA,247,536,0,0,NA,741,42,369,376,1,5,2,30,650,122,11,783,0,2021
SC-502,Columbia/Midlands CoC,938,116,63,NA,NA,NA,NA,NA,265,429,1,0,NA,683,12,200,473,3,4,0,15,495,200,0,695,243,2021
SC-503,"Myrtle Beach, Sumter City & County CoC",1212,238,86,NA,NA,NA,NA,NA,580,626,5,1,NA,1185,27,563,591,1,12,2,43,236,136,0,372,840,2021
SD-500,South Dakota Statewide CoC,817,200,88,NA,NA,NA,NA,NA,356,458,1,2,NA,768,49,256,56,7,479,5,14,718,99,0,817,0,2021
TN-500,Chattanooga/Southeast Tennessee CoC,1482,105,69,NA,NA,NA,NA,NA,397,1085,0,0,NA,1467,15,1266,207,1,0,0,8,235,20,0,255,1227,2021
TN-501,Memphis/Shelby County CoC,739,99,38,NA,NA,NA,NA,NA,202,519,0,18,NA,734,5,167,545,0,3,0,24,405,132,0,537,202,2021
TN-502,Knoxville/Knox County CoC,786,47,63,NA,NA,NA,NA,NA,241,303,1,0,NA,514,31,400,112,0,3,1,29,329,216,0,545,241,2021
TN-503,Central Tennessee CoC,292,87,10,NA,NA,NA,NA,NA,150,142,0,0,NA,279,13,142,142,0,1,0,7,76,156,0,232,60,2021
TN-504,Nashville-Davidson County CoC,1107,77,43,NA,NA,NA,NA,NA,301,802,4,0,NA,1073,34,528,535,13,6,1,24,841,262,4,1107,0,2021
TN-506,Upper Cumberland CoC,382,12,9,NA,NA,NA,NA,NA,58,96,1,0,NA,152,3,145,9,1,0,0,0,136,19,0,155,227,2021
TN-507,Jackson/West Tennessee CoC,891,189,59,NA,NA,NA,NA,NA,406,485,0,0,NA,876,15,531,327,4,4,0,25,100,14,0,114,777,2021
TN-509,Appalachian Regional CoC,310,48,17,NA,NA,NA,NA,NA,106,203,0,1,NA,304,6,268,29,0,5,5,3,169,30,0,199,111,2021
TN-510,Murfreesboro/Rutherford County CoC,362,30,17,NA,NA,NA,NA,NA,144,213,5,0,NA,346,16,269,79,0,3,0,11,118,59,0,177,185,2021
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",472,71,17,NA,NA,NA,NA,NA,293,178,0,1,NA,450,22,431,32,0,3,4,2,104,18,0,122,350,2021
TX-500,San Antonio/Bexar County CoC,1499,305,86,NA,NA,NA,NA,NA,589,904,6,0,NA,755,744,1128,340,8,13,3,7,1251,242,6,1499,0,2021
TX-503,Austin/Travis County CoC,2954,670,251,NA,NA,NA,NA,NA,1301,1636,15,2,NA,1994,960,1644,1083,17,27,4,179,509,197,10,716,2238,2021
TX-600,"Dallas City & County, Irving CoC",4570,372,249,NA,NA,NA,NA,NA,1342,3209,15,4,NA,4018,552,1822,2523,58,51,14,102,2611,497,30,3138,1432,2021
TX-601,"Fort Worth, Arlington/Tarrant County CoC",1300,205,103,NA,NA,NA,NA,NA,524,775,0,1,NA,1138,162,637,611,9,10,19,14,665,137,19,821,479,2021
TX-603,El Paso City & County CoC,528,114,79,NA,NA,NA,NA,NA,222,304,2,0,NA,129,399,479,27,2,6,6,8,368,160,0,528,0,2021
TX-604,Waco/McLennan County CoC,143,28,11,NA,NA,NA,NA,NA,56,87,0,0,NA,97,46,106,33,0,0,0,4,50,52,0,102,41,2021
TX-607,Texas Balance of State CoC,2562,822,195,NA,NA,NA,NA,NA,1281,1268,5,8,NA,1707,855,1718,723,21,28,12,60,1923,639,0,2562,0,2021
TX-611,Amarillo CoC,487,38,21,NA,NA,NA,NA,NA,154,333,0,0,NA,377,110,345,65,5,10,0,62,71,112,0,183,304,2021
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",156,30,36,NA,NA,NA,NA,NA,74,82,0,0,NA,129,27,131,21,1,3,0,0,148,8,0,156,0,2021
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3047,394,187,NA,NA,NA,NA,NA,1092,1943,11,1,NA,2636,411,1211,1724,35,25,8,44,1091,437,9,1537,1510,2021
TX-701,"Bryan, College Station/Brazos Valley CoC",49,3,0,NA,NA,NA,NA,NA,12,21,0,0,NA,30,3,17,16,0,0,0,0,33,0,0,33,16,2021
UT-500,Salt Lake City & County CoC,2314,260,99,NA,NA,NA,NA,NA,677,998,8,8,NA,1309,382,1275,205,21,81,35,74,1479,212,0,1691,623,2021
UT-503,Utah Balance of State CoC,1056,203,49,NA,NA,NA,NA,NA,309,306,2,0,NA,470,147,525,40,4,19,6,23,498,119,0,617,439,2021
UT-504,Provo/Mountainland CoC,195,33,5,NA,NA,NA,NA,NA,49,53,0,0,NA,79,23,89,7,1,2,3,0,46,56,0,102,93,2021
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",834,162,53,NA,NA,NA,NA,NA,322,409,5,0,NA,725,11,144,554,6,2,1,29,639,54,43,736,98,2021
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",564,76,26,NA,NA,NA,NA,NA,221,342,1,0,NA,543,21,127,402,3,3,0,29,538,26,0,564,0,2021
VA-502,"Roanoke City & County, Salem CoC",250,35,4,NA,NA,NA,NA,NA,83,167,0,0,NA,239,11,155,78,2,4,0,11,238,0,0,238,12,2021
VA-503,Virginia Beach CoC,348,67,21,NA,NA,NA,NA,NA,156,189,2,1,NA,325,23,141,179,3,2,2,21,276,41,0,317,31,2021
VA-504,Charlottesville CoC,177,10,4,NA,NA,NA,NA,NA,72,104,1,0,NA,169,8,104,63,2,4,0,4,144,5,0,149,28,2021
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",322,80,16,NA,NA,NA,NA,NA,118,203,1,0,NA,301,21,89,210,1,2,0,20,266,26,0,292,30,2021
VA-507,Portsmouth CoC,92,28,4,NA,NA,NA,NA,NA,42,50,0,0,NA,90,2,13,74,0,0,4,1,68,8,0,76,16,2021
VA-508,Lynchburg CoC,47,7,3,NA,NA,NA,NA,NA,15,31,1,0,NA,45,2,27,19,0,0,0,1,34,0,0,34,13,2021
VA-513,"Harrisburg, Winchester/Western Virginia CoC",267,44,19,NA,NA,NA,NA,NA,104,162,1,0,NA,252,15,198,41,0,0,3,25,267,0,0,267,0,2021
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",180,29,13,NA,NA,NA,NA,NA,60,120,0,0,NA,167,13,92,65,0,0,0,23,162,0,0,162,18,2021
VA-521,Virginia Balance of State CoC,870,229,41,NA,NA,NA,NA,NA,416,453,0,1,NA,829,41,539,259,8,1,2,61,673,128,0,801,69,2021
VA-600,Arlington County CoC,171,24,10,NA,NA,NA,NA,NA,60,111,0,0,NA,140,31,51,92,10,2,0,16,134,10,0,144,27,2021
VA-601,Fairfax County CoC,1222,296,91,NA,NA,NA,NA,NA,488,728,3,3,NA,987,235,456,621,70,12,5,58,1004,161,0,1165,57,2021
VA-602,Loudoun County CoC,80,14,8,NA,NA,NA,NA,NA,30,21,0,1,NA,47,5,23,23,0,0,0,6,38,14,0,52,28,2021
VA-603,Alexandria CoC,106,27,4,NA,NA,NA,NA,NA,44,62,0,0,NA,98,8,21,82,1,0,0,2,63,28,7,98,8,2021
VA-604,Prince William County CoC,282,62,19,NA,NA,NA,NA,NA,122,158,2,0,NA,234,48,102,143,2,2,1,32,216,24,0,240,42,2021
VI-500,Virgin Islands CoC,177,1,1,NA,NA,NA,NA,NA,50,127,0,0,NA,162,15,5,166,2,2,0,2,12,41,11,64,113,2021
VT-500,Vermont Balance of State CoC,1891,306,194,NA,NA,NA,NA,NA,863,1019,5,4,NA,1827,64,1716,84,7,19,4,61,1810,81,0,1891,0,2021
VT-501,Burlington/Chittenden County CoC,700,54,73,NA,NA,NA,NA,NA,304,391,3,2,NA,653,47,550,95,18,12,0,25,690,10,0,700,0,2021
WA-500,Seattle/King County CoC,5183,1327,425,NA,NA,NA,NA,NA,2204,2921,35,23,NA,4414,769,2327,1920,113,204,190,429,3429,1689,65,5183,0,2021
WA-501,Washington Balance of State CoC,3462,870,281,NA,NA,NA,NA,NA,1557,1872,21,12,NA,2783,679,2687,262,33,239,58,183,2511,951,0,3462,0,2021
WA-502,Spokane City & County CoC,992,170,79,NA,NA,NA,NA,NA,383,593,13,3,NA,877,115,735,110,8,63,18,58,778,214,0,992,0,2021
WA-503,"Tacoma, Lakewood/Pierce County CoC",1005,223,70,NA,NA,NA,NA,NA,417,582,4,2,NA,857,148,501,213,12,43,57,179,898,107,0,1005,0,2021
WA-504,Everett/Snohomish County CoC,494,116,13,NA,NA,NA,NA,NA,209,280,4,1,NA,443,51,336,62,16,32,24,24,474,20,0,494,0,2021
WA-508,Vancouver/Clark County CoC,375,105,39,NA,NA,NA,NA,NA,187,188,0,0,NA,329,46,285,28,2,13,25,22,213,162,0,375,0,2021
WI-500,Wisconsin Balance of State CoC,2420,741,136,NA,NA,NA,NA,NA,1114,1297,7,2,NA,2217,203,1598,448,15,171,9,179,1745,541,5,2291,129,2021
WI-501,Milwaukee City & County CoC,817,133,54,NA,NA,NA,NA,NA,310,501,5,1,NA,709,108,302,475,6,8,4,22,647,107,46,800,17,2021
WI-502,Racine City & County CoC,145,24,3,NA,NA,NA,NA,NA,46,98,1,0,NA,133,12,77,54,0,0,1,13,95,42,0,137,8,2021
WI-503,Madison/Dane County CoC,855,209,42,NA,NA,NA,NA,NA,346,503,2,4,NA,803,52,375,397,6,15,4,58,696,72,0,768,87,2021
WV-500,"Wheeling, Weirton Area CoC",86,2,12,NA,NA,NA,NA,NA,35,49,1,1,NA,83,3,68,8,1,2,1,6,74,12,0,86,0,2021
WV-501,"Huntington/Cabell, Wayne Counties CoC",170,4,3,NA,NA,NA,NA,NA,48,120,2,0,NA,164,6,145,11,0,2,1,11,69,0,6,75,95,2021
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",263,29,6,NA,NA,NA,NA,NA,93,170,0,0,NA,261,2,196,61,0,0,0,6,204,30,0,234,29,2021
WV-508,West Virginia Balance of State CoC,619,65,59,NA,NA,NA,NA,NA,262,356,1,0,NA,607,12,525,60,3,3,1,27,362,66,0,428,191,2021
WY-500,Wyoming Statewide CoC,405,116,32,NA,NA,NA,NA,NA,239,165,0,1,NA,375,30,360,8,0,13,10,14,338,67,0,405,0,2021
NA,Total,380630,84259,28289,NA,NA,NA,NA,NA,155990,212835,1544,627,NA,290184,80459,173389,159975,4210,10030,4894,19910,262679,61764,1683,326126,54504,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
AK-500,Anchorage CoC,1058,150,129,NA,NA,NA,NA,NA,419,636,2,1,NA,996,62,297,108,9,477,37,130,819,184,0,1003,55,2020
AK-501,Alaska Balance of State CoC,891,176,68,NA,NA,NA,NA,NA,409,478,1,3,NA,827,64,337,29,13,413,3,96,528,194,0,722,169,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",848,92,54,NA,NA,NA,NA,NA,296,551,1,0,NA,826,22,309,508,2,8,2,19,381,192,28,601,247,2020
AL-501,Mobile City & County/Baldwin County CoC,631,107,24,NA,NA,NA,NA,NA,244,385,2,0,NA,623,8,225,384,0,6,1,15,165,102,0,267,364,2020
AL-502,Florence/Northwest Alabama CoC,215,61,11,NA,NA,NA,NA,NA,91,67,1,0,NA,154,50,150,50,0,3,1,0,73,101,0,174,41,2020
AL-503,Huntsville/North Alabama CoC,561,99,25,NA,NA,NA,NA,NA,227,331,3,0,NA,540,21,286,240,0,5,4,26,368,38,0,406,155,2020
AL-504,Montgomery City & County CoC,351,43,11,NA,NA,NA,NA,NA,115,236,0,0,NA,347,4,95,245,0,3,3,5,215,60,0,275,76,2020
AL-505,Gadsden/Northeast Alabama CoC,280,23,19,NA,NA,NA,NA,NA,106,172,0,2,NA,272,8,181,88,0,9,0,2,72,10,0,82,198,2020
AL-506,Tuscaloosa City & County CoC,67,6,7,NA,NA,NA,NA,NA,16,47,2,2,NA,61,6,24,39,0,0,0,4,35,6,0,41,26,2020
AL-507,Alabama Balance of State CoC,398,97,47,NA,NA,NA,NA,NA,199,199,0,0,NA,391,7,192,201,0,3,0,2,112,94,0,206,192,2020
AR-500,Little Rock/Central Arkansas CoC,1186,79,78,NA,NA,NA,NA,NA,360,822,2,2,NA,1158,28,528,613,1,9,5,30,484,129,0,613,573,2020
AR-501,Fayetteville/Northwest Arkansas CoC,352,41,31,NA,NA,NA,NA,NA,133,216,3,0,NA,340,12,276,37,1,29,9,0,172,25,0,197,155,2020
AR-503,Arkansas  Balance of State  CoC,773,62,141,NA,NA,NA,NA,NA,276,497,0,0,NA,761,12,514,233,2,4,7,13,205,23,0,228,545,2020
AR-505,Southeast Arkansas CoC,55,13,8,NA,NA,NA,NA,NA,29,26,0,0,NA,54,1,35,18,0,0,0,2,51,4,0,55,0,2020
AZ-500,Arizona Balance of State CoC,2236,324,181,NA,NA,NA,NA,NA,936,1280,11,9,NA,1843,393,1460,132,22,364,6,252,830,231,0,1061,1175,2020
AZ-501,Tucson/Pima County CoC,1324,155,113,NA,NA,NA,NA,NA,410,898,13,3,NA,877,447,900,182,9,120,14,99,481,249,15,745,579,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",7419,1243,530,NA,NA,NA,NA,NA,2882,4516,19,2,NA,5904,1515,4541,1975,46,543,40,274,2172,1434,46,3652,3767,2020
CA-500,San Jose/Santa Clara City & County CoC,9605,731,1651,NA,NA,NA,NA,NA,3425,5963,173,44,NA,5549,4056,4101,1856,355,791,144,2358,1245,419,19,1683,7922,2020
CA-501,San Francisco CoC,8124,365,1157,NA,NA,NA,NA,NA,2756,4958,294,116,NA,6364,1760,2845,3083,402,327,153,1314,2471,473,0,2944,5180,2020
CA-502,"Oakland, Berkeley/Alameda County CoC",8137,309,781,NA,NA,NA,NA,NA,2840,5014,120,163,NA,6676,1461,2586,3831,142,295,124,1159,1289,509,27,1825,6312,2020
CA-503,Sacramento City & County CoC,5511,703,439,NA,NA,NA,NA,NA,2012,3444,31,24,NA,4534,977,2566,1829,60,405,128,523,1125,486,0,1611,3900,2020
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2745,201,305,NA,NA,NA,NA,NA,740,1995,9,1,NA,2066,679,1744,155,34,240,41,531,738,305,0,1043,1702,2020
CA-505,Richmond/Contra Costa County CoC,2277,154,107,NA,NA,NA,NA,NA,788,1483,4,2,NA,1752,525,1227,674,51,179,17,129,550,157,0,707,1570,2020
CA-506,"Salinas/Monterey, San Benito Counties CoC",2683,374,346,NA,NA,NA,NA,NA,941,1738,4,0,NA,1344,1339,1749,279,50,37,30,538,397,288,0,685,1998,2020
CA-507,Marin County CoC,1032,102,103,NA,NA,NA,NA,NA,330,698,4,0,NA,814,218,674,177,26,37,14,104,160,164,0,324,708,2020
CA-508,Watsonville/Santa Cruz City & County CoC,2256,296,597,NA,NA,NA,NA,NA,754,1500,2,0,NA,1513,743,1521,170,20,216,29,300,403,153,0,556,1700,2020
CA-509,Mendocino County CoC,751,33,76,NA,NA,NA,NA,NA,260,489,2,0,NA,704,47,516,14,5,191,9,16,70,106,0,176,575,2020
CA-510,"Turlock, Modesto/Stanislaus County CoC",2107,207,144,NA,NA,NA,NA,NA,727,1369,4,7,NA,1501,606,1640,248,35,72,26,86,803,217,0,1020,1087,2020
CA-511,Stockton/San Joaquin County CoC,2677,337,144,NA,NA,NA,NA,NA,939,1736,2,0,NA,1849,828,1776,632,67,29,49,124,847,272,0,1119,1558,2020
CA-512,Daly/San Mateo County CoC,1572,255,55,NA,NA,NA,NA,NA,525,1044,3,0,NA,968,604,1081,212,32,89,45,113,514,157,0,671,901,2020
CA-513,"Visalia/Kings, Tulare Counties CoC",1297,121,76,NA,NA,NA,NA,NA,539,755,2,1,NA,714,583,1061,111,10,80,14,21,205,155,0,360,937,2020
CA-514,Fresno City & County/Madera County CoC,3641,351,162,NA,NA,NA,NA,NA,1285,2330,14,12,NA,1743,1898,2146,669,64,347,37,378,815,145,0,960,2681,2020
CA-515,"Roseville, Rocklin/Placer County CoC",744,82,38,NA,NA,NA,NA,NA,261,478,4,1,NA,641,103,597,63,9,35,3,37,199,140,0,339,405,2020
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1529,152,136,NA,NA,NA,NA,NA,566,952,6,5,NA,1354,175,1139,52,14,185,16,123,358,148,0,506,1023,2020
CA-517,Napa City & County CoC,464,15,54,NA,NA,NA,NA,NA,130,332,2,0,NA,378,86,350,18,6,31,11,48,124,37,0,161,303,2020
CA-518,Vallejo/Solano County CoC,1162,49,212,NA,NA,NA,NA,NA,309,851,2,0,NA,988,174,470,414,20,36,59,163,145,85,0,230,932,2020
CA-519,"Chico, Paradise/Butte County CoC",1274,108,81,NA,NA,NA,NA,NA,465,803,3,3,NA,1104,170,1020,75,6,80,10,83,280,156,0,436,838,2020
CA-520,Merced City & County CoC,636,69,23,NA,NA,NA,NA,NA,223,413,0,0,NA,379,257,372,57,74,22,4,107,184,139,0,323,313,2020
CA-521,"Davis, Woodland/Yolo County CoC",641,72,39,NA,NA,NA,NA,NA,220,417,3,1,NA,450,191,467,100,1,23,9,41,201,43,0,244,397,2020
CA-522,Humboldt County CoC,1701,74,80,NA,NA,NA,NA,NA,266,1430,1,4,NA,1621,80,1492,42,5,146,12,4,238,61,0,299,1402,2020
CA-523,"Colusa, Glenn, Trinity Counties CoC",261,61,13,NA,NA,NA,NA,NA,121,140,0,0,NA,236,25,236,1,1,22,1,0,60,51,0,111,150,2020
CA-524,Yuba City & County/Sutter County CoC,721,95,23,NA,NA,NA,NA,NA,318,398,4,1,NA,611,110,558,47,9,43,6,58,199,3,0,202,519,2020
CA-525,El Dorado County CoC,663,87,99,NA,NA,NA,NA,NA,246,404,6,7,NA,492,171,603,35,2,8,1,14,145,38,0,183,480,2020
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",834,84,72,NA,NA,NA,NA,NA,336,498,0,0,NA,768,66,729,10,5,51,3,36,118,29,0,147,687,2020
CA-527,Tehama County CoC,300,37,23,NA,NA,NA,NA,NA,120,180,0,0,NA,249,51,257,10,1,19,1,12,50,35,0,85,215,2020
CA-529,Lake County CoC,357,10,13,NA,NA,NA,NA,NA,138,219,0,0,NA,327,30,296,13,2,0,0,46,8,13,0,21,336,2020
CA-530,"Alpine, Inyo, Mono Counties CoC",184,17,27,NA,NA,NA,NA,NA,64,120,0,0,NA,147,37,163,1,1,14,1,4,4,18,0,22,162,2020
CA-531,Nevada County CoC,387,13,30,NA,NA,NA,NA,NA,116,269,0,2,NA,355,32,341,3,0,17,4,22,102,34,0,136,251,2020
CA-600,Los Angeles City & County CoC,63706,7491,4181,NA,NA,NA,NA,NA,20300,42387,842,177,NA,40701,23005,29236,28998,1168,1449,397,2458,14077,3455,84,17616,46090,2020
CA-601,San Diego City and County CoC,7638,784,554,NA,NA,NA,NA,NA,2435,5136,19,48,NA,5443,2195,5057,1904,115,157,102,303,2307,1313,47,3667,3971,2020
CA-602,"Santa Ana, Anaheim/Orange County CoC",6978,933,280,NA,NA,NA,NA,NA,2555,4408,8,7,NA,4423,2555,5094,767,224,201,114,578,2202,815,0,3017,3961,2020
CA-603,Santa Maria/Santa Barbara County CoC,1897,192,102,NA,NA,NA,NA,NA,699,1193,3,2,NA,1178,719,1582,126,16,92,15,66,575,99,0,674,1223,2020
CA-604,Bakersfield/Kern County CoC,1580,142,89,NA,NA,NA,NA,NA,482,1090,7,1,NA,1024,556,1131,277,9,63,8,92,378,198,0,576,1004,2020
CA-606,Long Beach CoC,2034,165,65,NA,NA,NA,NA,NA,588,1422,5,19,NA,1380,654,992,804,73,37,60,68,249,203,0,452,1582,2020
CA-607,Pasadena CoC,527,42,25,NA,NA,NA,NA,NA,172,351,3,1,NA,333,194,294,193,11,10,1,18,194,39,0,233,294,2020
CA-608,Riverside City & County CoC,2884,170,349,NA,NA,NA,NA,NA,961,1913,3,7,NA,1847,1037,2031,624,38,91,28,72,670,59,0,729,2155,2020
CA-609,San Bernardino City & County CoC,3125,267,212,NA,NA,NA,NA,NA,1057,2049,4,15,NA,2091,1034,1784,741,24,74,20,482,537,174,24,735,2390,2020
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1787,130,104,NA,NA,NA,NA,NA,568,1207,6,6,NA,741,1046,1380,115,25,44,10,213,330,178,14,522,1265,2020
CA-612,Glendale CoC,169,42,7,NA,NA,NA,NA,NA,69,99,1,0,NA,95,74,116,24,4,8,1,16,47,47,0,94,75,2020
CA-613,Imperial County CoC,1527,92,154,NA,NA,NA,NA,NA,414,1085,0,28,NA,1120,407,1405,61,11,42,8,0,125,68,0,193,1334,2020
CA-614,San Luis Obispo County CoC,1423,127,163,NA,NA,NA,NA,NA,445,977,1,0,NA,1015,408,1014,95,13,51,19,231,228,23,0,251,1172,2020
CO-500,Colorado Balance of State CoC,1638,160,163,NA,NA,NA,NA,NA,491,1134,8,5,NA,1312,326,1282,95,4,120,17,120,525,315,0,840,798,2020
CO-503,Metropolitan Denver CoC,6104,853,394,NA,NA,NA,NA,NA,1952,4087,38,27,NA,4622,1482,3612,1417,37,339,92,607,2911,1582,50,4543,1561,2020
CO-504,Colorado Springs/El Paso County CoC,1339,243,120,NA,NA,NA,NA,NA,481,853,5,0,NA,1102,237,881,268,6,44,8,132,621,360,0,981,358,2020
CO-505,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",765,108,57,NA,NA,NA,NA,NA,274,488,2,1,NA,529,236,636,28,4,24,19,54,496,73,0,569,196,2020
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",697,149,48,NA,NA,NA,NA,NA,262,431,2,2,NA,458,239,342,291,3,9,0,52,499,141,0,640,57,2020
CT-505,Connecticut Balance of State CoC,2208,436,160,NA,NA,NA,NA,NA,845,1354,4,5,NA,1600,608,1177,774,13,25,10,209,1642,289,9,1940,268,2020
DC-500,District of Columbia CoC,6380,1432,548,NA,NA,NA,NA,NA,2577,3746,48,9,NA,5823,557,506,5618,38,26,20,172,4526,1201,0,5727,653,2020
DE-500,Delaware Statewide CoC,1165,266,71,NA,NA,NA,NA,NA,463,701,0,1,NA,1064,101,412,678,3,7,1,64,739,276,0,1015,150,2020
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1044,131,70,NA,NA,NA,NA,NA,344,700,0,0,NA,928,116,762,245,5,7,1,24,429,252,0,681,363,2020
FL-501,Tampa/Hillsborough County CoC,1452,244,63,NA,NA,NA,NA,NA,508,940,1,3,NA,1215,237,690,685,12,38,9,18,619,209,12,840,612,2020
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2226,230,119,NA,NA,NA,NA,NA,684,1539,3,0,NA,2056,170,1380,719,8,24,9,86,1049,302,67,1418,808,2020
FL-503,"Lakeland, Winterhaven/Polk County CoC",612,105,32,NA,NA,NA,NA,NA,214,397,0,1,NA,541,71,362,198,4,22,1,25,208,214,0,422,190,2020
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",904,171,66,NA,NA,NA,NA,NA,369,533,2,0,NA,622,282,579,272,2,12,0,39,223,209,19,451,453,2020
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",351,33,18,NA,NA,NA,NA,NA,127,222,1,1,NA,334,17,264,61,3,12,2,9,96,0,0,96,255,2020
FL-506,Tallahassee/Leon County CoC,805,160,49,NA,NA,NA,NA,NA,293,507,2,3,NA,778,27,279,485,4,5,3,29,551,145,0,696,109,2020
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2007,409,128,NA,NA,NA,NA,NA,758,1242,7,0,NA,1663,344,829,1051,5,15,7,100,993,555,0,1548,459,2020
FL-508,"Gainesville/Alachua, Putnam Counties CoC",880,115,45,NA,NA,NA,NA,NA,300,568,10,2,NA,827,53,491,316,5,20,2,46,219,60,0,279,601,2020
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1379,368,76,NA,NA,NA,NA,NA,574,803,2,0,NA,1226,153,814,489,7,13,3,53,107,81,0,188,1191,2020
FL-510,"Jacksonville-Duval, Clay Counties CoC",1366,193,118,NA,NA,NA,NA,NA,489,876,0,1,NA,1260,106,534,770,7,10,7,38,545,370,0,915,451,2020
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",746,48,44,NA,NA,NA,NA,NA,228,517,1,0,NA,705,41,462,260,5,10,0,9,203,169,0,372,374,2020
FL-512,St. Johns County CoC,367,60,38,NA,NA,NA,NA,NA,162,205,0,0,NA,346,21,274,72,3,4,1,13,101,61,0,162,205,2020
FL-513,"Palm Bay, Melbourne/Brevard County CoC",940,142,45,NA,NA,NA,NA,NA,294,645,1,0,NA,883,57,706,186,2,5,1,40,57,289,20,366,574,2020
FL-514,Ocala/Marion County CoC,523,115,21,NA,NA,NA,NA,NA,206,317,0,0,NA,491,32,330,170,1,3,1,18,226,147,0,373,150,2020
FL-515,"Panama City/Bay, Jackson Counties CoC",385,27,24,NA,NA,NA,NA,NA,122,263,0,0,NA,369,16,292,78,0,10,1,4,39,97,0,136,249,2020
FL-517,"Hendry, Hardee, Highlands Counties CoC",403,135,48,NA,NA,NA,NA,NA,162,241,0,0,NA,262,141,230,134,1,17,0,21,14,34,0,48,355,2020
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",578,138,39,NA,NA,NA,NA,NA,229,349,0,0,NA,567,11,262,276,2,10,0,28,57,27,0,84,494,2020
FL-519,Pasco County CoC,898,126,58,NA,NA,NA,NA,NA,327,565,2,4,NA,831,67,772,82,3,6,1,34,133,77,0,210,688,2020
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",703,115,72,NA,NA,NA,NA,NA,322,380,1,0,NA,636,67,506,147,4,8,0,38,118,161,0,279,424,2020
FL-600,Miami-Dade County CoC,3560,848,166,NA,NA,NA,NA,NA,1278,2272,9,1,NA,2283,1277,1491,2016,16,10,3,24,1998,515,27,2540,1020,2020
FL-601,Ft Lauderdale/Broward County CoC,2211,288,101,NA,NA,NA,NA,NA,706,1497,4,4,NA,1993,218,823,1323,15,17,14,19,857,338,32,1227,984,2020
FL-602,Punta Gorda/Charlotte County CoC,169,18,7,NA,NA,NA,NA,NA,58,111,0,0,NA,158,11,141,18,0,3,0,7,70,23,0,93,76,2020
FL-603,"Ft Myers, Cape Coral/Lee County CoC",444,86,16,NA,NA,NA,NA,NA,186,258,0,0,NA,373,71,291,142,0,5,1,5,229,4,0,233,211,2020
