CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
CA-519,"Chico, Paradise/Butte County CoC",1237,93,63,193,301,255,237,95,430,792,6,9,0,1056,181,977,70,13,63,2,112,506,151,0,657,580,2023
CA-520,Merced City & County CoC,784,78,40,157,201,154,124,30,286,496,2,0,0,452,332,540,131,11,23,4,75,323,71,0,394,390,2023
CA-521,"Davis, Woodland/Yolo County CoC",737,80,34,40,67,50,67,34,264,471,0,2,0,507,230,515,120,17,59,11,15,341,18,0,359,378,2023
CA-522,Humboldt County CoC,1656,64,68,48,71,62,53,33,470,1171,6,8,1,1535,121,1352,54,0,141,7,102,274,73,0,347,1309,2023
CA-523,"Colusa, Glenn, Trinity Counties CoC",360,86,17,56,85,54,44,18,154,206,0,0,0,292,68,305,4,12,29,4,6,136,44,0,180,180,2023
CA-524,Yuba City & County/Sutter County CoC,963,120,32,164,222,209,160,56,373,584,0,3,3,811,152,674,60,10,48,8,163,260,21,0,281,682,2023
CA-525,El Dorado County CoC,491,9,81,10,12,2,12,5,156,318,4,4,9,464,27,448,14,9,14,3,3,15,38,0,53,438,2023
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",731,96,49,35,37,26,24,21,313,413,1,2,2,643,88,629,9,1,49,3,40,201,36,0,237,494,2023
CA-527,Tehama County CoC,304,25,11,53,79,63,56,17,116,188,0,0,0,233,71,254,5,0,18,4,23,19,38,0,57,247,2023
CA-529,Lake County CoC,460,69,39,40,35,32,16,8,191,268,1,0,0,381,79,273,12,1,160,3,11,110,91,0,201,259,2023
CA-530,"Alpine, Inyo, Mono Counties CoC",88,7,9,25,16,7,21,3,26,61,1,0,0,71,17,73,1,0,12,1,1,13,1,0,14,74,2023
CA-531,Nevada County CoC,492,50,32,68,122,95,87,38,151,338,1,2,0,444,48,440,19,2,10,4,17,144,121,0,265,227,2023
CA-600,Los Angeles City & County CoC,71320,6230,3718,13738,16597,13475,12841,4721,21935,47593,1112,570,110,40970,30350,28624,30921,3773,2700,1464,3838,15835,2756,422,19013,52307,2023
CA-601,San Diego City and County CoC,10264,1277,739,1632,2059,1888,1920,749,3663,6461,63,68,9,6794,3470,5964,2288,157,289,156,1410,3895,1148,50,5093,5171,2023
CA-602,"Santa Ana, Anaheim/Orange County CoC",6050,727,229,407,476,497,622,265,2150,3862,19,15,4,3614,2436,4337,530,187,207,70,719,2439,554,0,2993,3057,2023
CA-603,Santa Maria/Santa Barbara County CoC,1887,185,102,308,310,368,410,204,693,1162,6,17,9,1080,807,1571,130,19,82,11,74,599,86,0,685,1202,2023
CA-604,Bakersfield/Kern County CoC,1948,125,120,433,501,369,299,101,628,1312,0,7,1,1157,791,1503,306,12,36,12,79,729,202,0,931,1017,2023
CA-606,Long Beach CoC,3447,48,145,500,686,731,810,527,1142,2225,42,38,0,2235,1212,2055,1120,122,41,33,76,492,414,59,965,2482,2023
